                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4156,                0.86405,                  1.147,                0.85414,                 0.7803,                0.85092,                0.54564,                 1.1762,                0.94024,                 1.1359,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3502,                0.82654,                 1.1265,                0.89598,                0.78788,                0.83648,                0.53353,                 1.1795,                0.93138,                 1.1001,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3671,                0.88384,                 1.1577,                0.93293,                0.78788,                0.87345,                0.55423,                 1.1236,                0.93423,                 1.0887,               0.001307,               0.001307,               0.001307
                     37,                 1.3613,                 0.8265,                 1.1623,                0.88224,                0.78788,                0.84166,                0.52459,                 1.1553,                0.90228,                 1.1304,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3681,                0.85234,                  1.138,                0.89845,                0.80434,                0.85681,                0.54163,                 1.1859,                0.98151,                  1.175,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3657,                0.79941,                 1.1442,                0.91362,                0.82576,                0.86027,                0.55635,                 1.0906,                0.82969,                    1.1,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3901,                0.90811,                 1.2035,                0.88823,                0.77273,                0.81889,                0.51151,                 1.2033,                0.95186,                 1.1416,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3849,                0.86285,                  1.154,                0.88951,                0.82576,                0.84762,                0.55918,                  1.095,                0.83757,                 1.1256,               0.001208,               0.001208,               0.001208
                     42,                 1.3495,                0.80895,                 1.1333,                0.79648,                0.81061,                 0.8425,                0.55952,                 1.0838,                0.86024,                 1.1247,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3288,                0.80152,                 1.1149,                0.91674,                 0.7803,                0.85475,                0.56523,                 1.0804,                0.82223,                 1.0806,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3403,                0.82759,                 1.1416,                0.92105,                0.82576,                0.86818,                0.55183,                 1.0903,                0.80443,                 1.1138,              0.0011486,              0.0011486,              0.0011486
